s_m,x_m,y_m
2184.311637,121.475501,-101.332499
2187.316193,122.883352,-98.679337
2190.320748,124.470394,-96.128915
2193.325303,126.200427,-93.672953
2196.329858,128.039158,-91.297002
2199.334413,129.955292,-88.982828
2202.338969,131.923392,-86.712618
2205.343524,133.923363,-84.470418
2208.348079,135.941340,-82.244428
2211.352634,137.968480,-80.026783
2214.357189,139.998784,-77.812040
2217.361745,142.029599,-75.597763
2220.366300,144.060703,-73.383749
2223.370855,146.092440,-71.170306
2226.375410,148.125089,-68.957705
2229.379965,150.158077,-66.745425
2232.384521,152.191177,-64.533245
2235.389076,154.225003,-62.321732
2238.393631,156.259547,-60.110879
2241.398186,158.294027,-57.899963
2244.402742,160.327835,-55.688428
2247.407297,162.360723,-53.476055
2250.411852,164.392795,-51.262929
2253.416407,166.424117,-49.049111
2256.420962,168.454370,-46.834313
2259.425518,170.483197,-44.618220
2262.430073,172.510619,-42.400833
2265.434628,174.536660,-40.182183
2268.439183,176.562363,-37.963226
2271.443738,178.588749,-35.744891
2274.448294,180.616208,-33.527534
2277.452849,182.645058,-31.311457
2280.457404,184.675845,-29.097146
2283.461959,186.708048,-26.884130
2286.466514,188.740381,-24.671241
2289.471070,190.772332,-22.458001
2292.475625,192.803860,-20.244380
2295.480180,194.834725,-18.030155
2298.484735,196.863461,-15.813973
2301.489291,198.889136,-13.594992
2304.493846,200.912481,-11.373873
2307.498401,202.934780,-9.151818
2310.502956,204.956313,-6.929069
2313.507511,206.978433,-4.706831
2316.512067,209.002120,-2.486025
2319.516622,211.027135,-0.266420
2322.521177,213.053101,1.952313
2325.525732,215.079183,4.170945
